Map,Total,Round 1,Round 2,Round 3,Playoffs
Ascent,6,1,0,1,4
Bind,7,2,1,1,3
Breeze,6,1,2,1,2
Icebox,7,2,2,1,2
Lotus,8,2,2,1,3
Split,9,1,3,0,5
Sunset,9,3,2,1,3
